Company,Sector,Stage,Amount,Location,About,Funding Year
Pando,Logistics,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018
Mintifi,Financial Services,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018
Carcrew,Automotive,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018
NicheAI,Artificial Intelligence,Angel,,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018
Chariot Tech,Internet Of Things,Seed,242546.97,Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018
Loanzen,Financial Services,Seed,,Bengaluru,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018
Mojro Technologies,Information Technology,Seed,650000.0,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018
Elemential,Blockchain,Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018
Loadshare,Industrial Automation,Series A,5000000.0,Bengaluru,LoadShare is India’s fastest growing logistics company,2018
Yumlane,Food And Beverage,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018
Kriger Campus,Education,Seed,363820.45,Delhi,A Education Start Up.,2018
Pipa+Bella,E-Commerce,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018
Kaleidofin,Financial Services,Seed,2800000.0,Chennai,A fintech platform.,2018
Chakr Innovation,Renewable Energy,Seed,,Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018
IndigoLearn,E-Learning,Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018
UClean,Clean Energy,Seed,485093.94,India,UClean is a tech enabled laundry service provider.,2018
Coutloot,E-Commerce,Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,2018
Letstrack,Apps,Seed,1700000.0,Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018
Pooltoo,Transportation,Seed,,Delhi,Pooltoo offers a premium ride sharing platform.,2018
Finzy,Financial Services,Seed,1300000.0,Bengaluru,finzy is the premier peer to peer lending solution in India.,2018
Fitternity,Fitness,Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018
Keito,Artificial Intelligence,Seed,,Pune,Building an Intelligent Digital Assistant.,2018
Tolet for Students,Hospitality,Seed,60636.74,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018
Chai Kings,Food And Beverage,Seed,242546.97,Chennai,Chai Kings is a tea retail chain,2018
Dainik Jagran,Media And Entertainment,Seed,485093.94,Kanpur,Dainik Jagran is a media and communications group.,2018
Playtoome,Broadcasting,Seed,242546.97,Bengaluru,Playtoome is a live entertainment destination,2018
ONGO Framework,B2B,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018
Notesgen,Edtech,Seed,151591.86,Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018
Arogya MedTech,Health Care,Seed,181910.23,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018
Propshop24,E-Commerce,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018
myUpchar,Health Care,Series A,5000000.0,Delhi,To bring health issues to people in their language.,2018
MissMalini Entertainment,—,Seed,1261244.23,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018
Rooter,Sports,Seed,545730.68,India,Rooter is a mobile-based platform,2018
ZestMoney,Big Data,Series A,13400000.0,Bengaluru,Zest is India's first completely automated consumer digital lending platform.,2018
alphaics Corporation,Cloud Computing,Seed,,Bengaluru,Advancing AI compute,2018
MyDentistChoice,Health Care,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018
Sattviko,Food Processing,Angel,,Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018
Sensibull,Trading Platform,Seed,303183.71,Bengaluru,Investment Management Platform,2018
Bombay Shaving Company,Consumer Goods,Series A,,Delhi,Bombay Shaving Company is a Men's grooming startup,2018
MedCords,Wellness,Seed,320162.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018
University Living,Education,Seed,,Delhi,University Living is an online global student housing marketplace.,2018
&ME,Food And Beverage,Seed,,Bengaluru,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018
Enakshi,Fashion,Seed,97018.79,Ahmedabad,Enakshi is an online apparel brand for women.,2018
Ultraviolette Automotive,Automotive,Series A,727.64,Bengaluru,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018
Inthree Access,Consulting,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018
BUGWORKS Research India,Biotechnology,Series A,9000000.0,Bengaluru,BUGWORKS is a drug discovery company.,2018
Guardian.in,Health Care,Seed,,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018
PrestLoans,Credit,Seed,100000.0,Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018
Wimoxez,Internet,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018
India Accelerator,Communities,Angel,,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018
HappyEMI,Consumer,Seed,1000000.0,Bengaluru,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018
Wishup,Consumer Applications,Seed,,Azadpur,Premium Personal Assistance service,2018
Hansel.io,Mobile,Series A,4000000.0,Bengaluru,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018
Propelld,Education,Seed,250000.0,Bengaluru,Propelld is a student education financing platform.,2018
PivotRoots,Advertising,Series A,,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018
ZiffyHomes,Marketplace,Seed,120000.0,Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018
Carmesi,Health Care,Seed,412329.85,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018
OckyPocky,E-Learning,Angel,,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018
Racetrack,Artificial Intelligence,Seed,4147553.16,Bengaluru,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018
WHR,Health Care,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018
Asteria Aerospace,Aerospace,Seed,,Bengaluru,Asteria Aerospace is a robotics and artificial intelligence company.,2018
FabAlley,E-Commerce,Series B,7276409.04,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018
Tranzmeo,Artificial Intelligence,Pre-Seed,,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018
SBI Life,Insurance,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018
Studds Accessories,E-Commerce,Private Equity,12127348.41,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018
Design Cafe,Home Decor,Series B,24254696.82,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018
NoPaperForms Solutions Pvt. Ltd.,Edtech,Series B,3980000.0,Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018
Rays Power Infra,Energy,,24254696.82,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018
AuthMetrik,B2B,Grant,10000.0,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018
Khidki,Artificial Intelligence,Seed,,Bengaluru,Vernacular Social Network Focused on Town Level Content and Interactions,2018
LetsTransport,Logistics,Series B,12127348.41,Bengaluru,Lets transport is a logistics solution provider.,2018
Next Digital Solutions,Digital Marketing,Angel,1212.73,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018
Portea Medical,Health Care,Debt Financing,3031837.1,Bengaluru,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018
Aavas Financiers,Finance,Post-IPO Debt,24254696.82,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018
Swiggy,Food Delivery,Series H,1000000000.0,Bengaluru,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018
Milkbasket,E-Commerce,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018
Nutrisattva (Proliva),Fitness,Angel,,Anand,Nutrisattva is a protein innovation compan,2018
Toppr,Edtech,Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018
Jagaran Microfin,—,Debt Financing,6670041.62,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018
Vivriti Capital,Financial Services,,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018
Be U Salons,Apps,Seed,363820.45,Delhi,Be U is India's first subscription based Salon Chain.,2018
Impact Guru,Creative Agency,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018
MobiKwik,Consumer Lending,Series E,2910563.62,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018
Stones2Milestones,E-Learning,Seed,,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018
Generico,Health Care,Series A,,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018
Adiuvo Diagnostics,Health Diagnostics,Seed,,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018
DataTrained,Edtech,Seed,1455281.81,Bengaluru,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018
OneAssist,Financial Services,Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,2018
Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,30000000.0,Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018
APAC Financial Services,Finance,Private Equity,30318371.02,Mumbai,APAC Financial Services is a financial services platform.,2018
Moglix,B2B,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018
SEDEMAC Mechatronics,Automotive,,,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018
MadGuy Labs,E-Learning,,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018
Dee Dee Labs,Embedded Systems,Seed,,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018
FLEECA,—,Seed,,Jaipur,FLEECA is a Tyre Care Provider company.,2018
Shop101,Apps,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018
FeedMyPockets,Advertising,Seed,533603.33,Bengaluru,On Demand Staffing Platform,2018
Housejoy,Beauty,Series B,3240000.0,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018
Ambee,Health Care,Angel,,Bengaluru,Ambee is an Environment analytics startup.,2018
FoodBuddy,Food Delivery,Seed,727640.9,Bengaluru,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018
Ninjacart,Agtech,Series B,30318371.02,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018
Olly Smart Credit Card,Credit Cards,Seed,,Delhi,Olly is a digital credit card for India's working masses and young people.,2018
Zestl,Software,Seed,,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018
BYJU’S,Edtech,Private Equity,540000000.0,Bengaluru,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018
Wakefit,Manufacturing,,7882776.47,Bengaluru,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018
Hero Electric,Manufacturing,,19403757.45,Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018
Pentation Analytics,Information Services,Seed,,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018
PerkFinance,Consumer Lending,Seed,900000.0,Bengaluru,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018
Roposo,Internet,Series C,10000000.0,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018
Plum Goodness,Beauty,Series A,,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018
Drstore,Hospital,Seed,,Mumbai,Drstore is a exclusive e- commerce platform.,2018
Wow Venue,Events,,1500000.0,Mumbai,Wow Venue is an online platform.,2018
Chizel,3D Printing,Seed,,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018
OTO Capital,Automotive,Seed,606367.42,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018
Boodmo,Automotive,Seed,848914.39,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018
Khabri,Apps,Seed,,Haryana,Khabri is a digital audio platform for content in vernacular.,2018
MyNewCar.in,Automotive,,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018
HalaPlay Technologies,Digital Entertainment,Series A,5000000.0,Bengaluru,A daily fantasy sports platform.,2018
PlanetSpark,E-Learning,Seed,194037.57,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018
WheelsEMI,—,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,1243053.21,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018
OYO,Hospitality,Series E,100000000.0,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018
Quikr,Classifieds,Debt Financing,6670041.62,Bengaluru,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018
Tabono,Sports,Seed,,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018
LearnApp,Banking,Seed,242546.97,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018
Shopkirana,E-Commerce,,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018
Fric Bergen,—,,,Alwar,Fric Bergen is a leader in the specialty food industry.,2018
Articbot,Artificial Intelligence,Grant,14552.82,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018
BuildSupply,Enterprise Resource Planning (Erp),Series A,3031837.1,Gurgaon,India’s most advanced ERP system for the real estate,2018
Fusion Microfinance,Banking,Series E,63062211.72,Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018
Any time Doctor,Software,Angel,,Chennai,Anytime Doctor is a Software company.,2018
Go Payments,Information Services,Corporate Round,,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018
Guiddoo World,Audio,Seed,800000.0,Mumbai,We build In-Destination Experiences!,2018
ION Energy,Energy,,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018
UnoTag,Artificial Intelligence,Pre-Seed,100000.0,Bengaluru,SaaS to verify counterfeit,2018
CivilCops,Government,Pre-Seed,100000.0,Gurgaon,Gov-Tech,2018
Rockmetric,Information Technology,Grant,,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018
Classworks India,Education,,1212.73,Chennai,"Saas, Web App, Mobile App, School Education",2018
Snapmint,Consumer Lending,Seed,,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018
artbandhu,Digital Media,Pre-Seed,15000.0,Bengaluru,Ai platform for Art and Creative Community,2018
Survaider,Business Intelligence,Seed,500000.0,Bengaluru,Stethoscope for customer feedback !,2018
Credy,Credit,Seed,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018
iChamp,E-Learning,Seed,5000000.0,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018
Qandle,Software,Seed,1200000.0,Gurgaon,A cloud-based HR management and employee engagement platform.,2018
Avishkaar Box,Children,Seed,606367.42,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018
Gegadyne Energy,Automotive,Angel,,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018
HyperXchange,E-Commerce,Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018
Deftouch,—,Seed,,Bengaluru,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018
Doodhwala,Food Delivery,Seed,2200000.0,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018
DronaHQ,Mobile,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018
FastFox,Rental,Series A,1212734.84,Gurgaon,FastFox: Market Network for Home Rentals (India),2018
BuyForexOnline,Travel,,2000000.0,Bengaluru,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018
Colive.in,Consumer,Seed,1800000.0,Bengaluru,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018
Agricxlab Private Limited,B2B,Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018
Corefactors,—,Seed,,Bengaluru,"Corefactors is a leading campaign management, business communication and analytics company.",2018
Fincash.com,Wealth Management,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,2018
Pandorum Technologies,Biotechnology,Series A,3600000.0,Bengaluru,Bengaluru based biotech startup.,2018
Shirsa Labs,Education,Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018
PetSutra,Veterinary,Seed,115209.81,Gurgaon,Gurugram-based Online petcare platform.,2018
Awaaz De,Internet,Angel,,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018
PinkBlue,Health Care,Seed,300000.0,Bengaluru,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018
Eduvanz,Finance,Angel,500000.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018
Rupeek,Financial Services,Series A,6830000.0,Bengaluru,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018
Backpacker Panda Holidays Private Limited,Tourism,Series A,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018
Shape (School Health and Physical Education),Education,Seed,200000.0,Pune,Physical education start up,2018
Placio,Hospitality,Seed,2000000.0,Noida,Placio is a student housing and a complete broker-free platform.,2018
Aviom India Housing Finance,Finance,Series A,1819102.26,Delhi,Delhi based housing finance company.,2018
GenRobotic,Market Research,Seed,,Trivandrum,A Robotic Company.,2018
HeyHolidays,Tourism,Seed,1000000.0,Bengaluru,"HeyHolidays, a global player in online vacation rentals.",2018
Pratilipi,Digital Media,Series A,4300000.0,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018
SectorQube,Consumer Electronics,Seed,,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018
Food Memories,Food And Beverage,Seed,,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018
ZAMROO,Internet,Seed,,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018
Silversparro Technologies Pvt. Ltd,Analytics,Seed,300000.0,Gurgaon,Silversparro is a deep learning technology solution provider.,2018
Creator’s Gurukul,Facilities Support Services,Angel,,Gurgaon,A coworking space provider.,2018
Emflux Motors,Automotive,Seed,364846.0,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018
Tricog Health Services Pvt Ltd,Health Care,Series A,4000000.0,Bengaluru,Predictive Healthcare Analytics Company,2018
Scapic,Cloud Computing,Seed,500000.0,Bengaluru,Virtual/Augmented Reality Start Up .,2018
6Degree,Fashion,Seed,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018
Chrysalis (EZ Vidya),Education,Seed,,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018
Ekincare,Medical,Series A,1500000.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018
Streo,Music Streaming,Seed,,Gurgaon,"Live stream music from nightclubs, bars & festivals!",2018
Groww,Finance,Seed,120000.0,Kormangala,Groww offers a new way of investing money.,2018
Cell Propulsion,—,Seed,84891.44,Bengaluru,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018
Chezuba,Internet,Angel,16978.29,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018
Ontrack Technologies Pvt. Ltd,Retail,Seed,,Bengaluru,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018
Wealthtrust,Finance,Seed,500000.0,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018
Faclon Labs,Cloud Computing,Seed,,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018
Awign Enterprises,Business Development,Seed,606367.42,Bengaluru,Operations and manpower outsourcing startup,2018
CollPoll,Education,Seed,,Bengaluru,World-class Enterprise System for Education.,2018
Zyla Health,Health Care,Seed,,Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018
Hubhopper,Internet,Series A,500000.0,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018
Rubix108 Technologies,Information Technology,Seed,1000000.0,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018
Workflexi,Human Resources,Seed,121273.48,Bengaluru,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018
Streak,Financial Services,Seed,272865.34,Bengaluru,Algorithmic trading platform.,2018
Kuants,Financial Services,Seed,60636.74,Gurgaon,Algorithmic trading platform.,2018
NiYO Solutions,Finance,Series A,13200000.0,Bengaluru,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018
Hippo Video,Customer Service,Seed,,Chennai,A video recording and sharing software.,2018
Satvacart,E-Commerce,Seed,,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,2018
Daaki,Health Care,Angel,,Bengaluru,Sports Nutrition startup,2018
Simulanis,Training,Seed,500000.0,Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018
MY CHIRAAG CAB,Travel,Seed,1000000.0,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,2018
WOTU,Food And Beverage,Seed,,Bengaluru,It operates a business-to-business e-commerce portal for food and beverages.,2018
Flathalt,—,Angel,50000.0,Gurgaon,FInd your Customized Home here.,2018
True Elements,Dietary Supplements,Seed,606367.42,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,2018
Trendlyne Technologies,Financial Services,Seed,200000.0,Bengaluru,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018
Planys Technologies,Manufacturing,Series A,1700254.25,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2018
HealthPlix,Fitness,Series A,3000000.0,Bengaluru,HealthPlix is a healthtech startup,2018
dishq,—,Seed,400000.0,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,2018
Entropik Technology,Artificial Intelligence,Seed,1100000.0,Bengaluru,The boundaries between Human and Machines are shrinking fast.,2018
myHQ,Collaboration,Series A,500000.0,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018
