Company,Location,Sector,About,Amount,Stage,Funding Year
Innaccel,Bengaluru,Medtech,A building a portfolio of novel medical devices designed engineered and priced for global Emerging Markets,1500000.0,Pre-series A,2020
Tiliter,Sydney,Retail,Software that uses computer vision to recognise products without barcodes,7500000.0,,2020
Slintel,"San Francisco Bay Area, Silicon Valley, West Coast",Sles And Marketing,Slintel a leader in capturing technographicspowered buying intent helps companies uncover the 3 of active buyers in their target market,4200000.0,,2020
Soolegal,New Delhi,Legaltech,SoOLEGAL is a global integrated directory of lawyers legal aid organizations and Law firms,4000000.0,,2020
Hobspace,Mumbai,Edtech,Indias Activity Hub for Kids,200000.0,Seed,2020
Supplynote,Noida,Saas Startup,Supplynote is Indias leading procurement platform with a unique stack of SAAS and Ecommerce to solve the procurement problem,500000.0,Seed,2020
Hire Me Car,Noida,Car Service,Indias largest cloud based digital discovery and services provisioning platform for the taxi rental,,Seed,2020
Shopup,Bangaldesh,E-Commerce,ShopUp provides easy access to B2B sourcing lastmile logistics digital credit and business management solutions to small businesses,22000000.0,Series A,2020
Harmonizer India,Bengaluru,Tech Startup,Energyefficient solutions based on the Artificial Intelligence Machine Learning and Internet of Things technology,,,2020
Zomato,Gurugram,Foodtech,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,52000000.0,,2020
Dukaan,Mumbai,Tech Startup,Developer of an android application designed for businesses to sell online,6000000.0,Seed,2020
Credr,Mumbai,Bike Marketplace,Indias Only 100 Inspected and Certified Used Bikes Marketplace,2000000.0,,2020
Satyukt,Bengaluru,Agri Tech,An agritech company that provides business to business B2B agricultural data,500000.0,Seed,2020
Racenergy,Hyderabad,Automobiles,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles,,,2020
Tread,Bengaluru,Fitness Startup,A homegrown fitness startup that aims to advance the Fit India initiative by offering holistic and affordable workouts,1100000.0,Pre-seed,2020
Anveshan,Bengaluru,Foodtech,Provide quality and healthy food products,100000.0,Pre-seed,2020
Teamonk,Bengaluru,Food & Bevarages,Indias Finest Specialty Tea company,900000.0,Pre-series A,2020
Fleetx,Gurugram,Tech Startup,Fleetx is an intelligent data platform which uses AI machine learning sensors and predictive analytics to help fleet owners,3000000.0,Pre-series B,2020
Renewate,Pune,Real Estate,Tech platform helping millions of renovation contractors property improvement professionals and businesses manage their business digitally,,Pre-seed,2020
Tango Eye,Chennai,Saas Startup,Retail Video Analytics SaaS product,,Seed,2020
Rare Planet,Kolkata,Reatil Startup,Rare Planet sells handicrafts made by local artisans,,Pre-series A,2020
Avataa Me,Bengaluru,Ar Platform,AVATAARME is a deeptech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices,7000000.0,Series A,2020
Arrival,"London, England, United Kingdom",Ev Startup,Arrival is a technology company that specializes in developing electric vehicles,118000000.0,,2020
Cover Genius,"Sydney, New South Wales, Australia",Fintech,Cover Genius provides an insurance distribution platform designed to protect the customers of ecommerce companies,15000000.0,,2020
Phononic Vibes,"Milano, Lombardia, Italy",Deeptech,Phononic Vibes introduces a new patented technology for vibration and noise control and isolation with a circular economy approach,2300000.0,,2020
Mikelegal,Gurugram,Legaltech,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,,Seed,2020
Clair,"New York, United States",Fintech,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms,4500000.0,Seed,2020
Gourmet Garden,"Palmwoods, Queensland, Australia",Consumer Goods,Gourmet Garden is a global market leader in chilled convenient packaged herbs,,,2020
Miko,Mumbai,Ai Startup,Miko is an advanced robotics startup founded by three IIT Bombay postgraduates on the pillars of robotics AI  IoT,3000000.0,Pre-series B,2020
Razorpay,Bengaluru,Fintech,Razorpay is a platform that enables businesses to accept process and disburse payments,100000000.0,Series D,2020
Ninjacart,Bengaluru,Food Industry,Ninjacart is a businesstobusiness fresh produce supply chain that connects farmers manufactures and brands to retailers directly,30000000.0,,2020
Wow! Momo,Kolkata,Food Industry,Wow Momo is a chain of fastfood restaurants that specializes in momos,5000000.0,Debt,2020
Pepper Content,Mumbai,Content Marketplace,Pepper Content is a ContentMediation Platform that connects talented writers to organisations that require content,4200000.0,Series A,2020
Livspace,Bengaluru,Interior Design,Livspace is an interior design startup that offers a platform that connects people to designers services and products,4000000.0,Debt,2020
Acculi Labs,Bengaluru,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,600000.0,Seed,2020
Your Md,"London, England, United Kingdom",Healthcare,YourMD is a platform committed to helping a billion people find their health by unlocking selfcare with digital technology,25000000.0,,2020
Antaios,France,Tech Company,Developer of memorybased technology intended to solve issues of advanced computing,11000000.0,,2020
Unnati,Noida,Agritech,A helping hand to the farming community through Artificial Intelligence,1700000.0,Pre-series A,2020
Disprz,Chennai,Edtech,Disprz is a oneofitskind knowledgetech startup that strives to make people knowledgeable productive and smarter at what they do,1600000.0,Pre-series B,2020
Uni,Mumbai,Fintech,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions,18500000.0,Seed,2020
Credit Wise Capital,Mumbai,Fintech,CreditWise Capital is a consumer finance company,6000000.0,Seed,2020
Chargebee,"San Francisco Bay Area, West Coast, Western US",Saas Startup,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,55000000.0,Series F,2020
Reliance Retail Ventures Ltd,Mumbai,Retail,Reliance Retail offers online shopping and a chain of neighborhood stores supermarkets and wholesalespecialty stores,70000000000.0,,2020
Winuall,Bengaluru,Edtech,Winuall specializes in the fields of Elearning online quizzes and tests study material for competitive exams,2000000.0,,2020
Genrobotics,"Trivandrum, Kerala, India",Ai Startup,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence,300000.0,,2020
Livve,Cochin,Rental Space,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure,1500000.0,Seed,2020
Ergos,"Samastipur, Bihar",Agritech,Ergos is building an integrated supply chain by setting up micro warehouses,5000000.0,Series A,2020
Krishitantra,Hyderabad,Soil-Tech,KrishiTantra is an AgriIoT startup building farm automation for controlled agricultural environment,1000000.0,Seed,2020
Pakkaprofile,Bengaluru,Recruitment Startup,PakkaProfile bridges the gap between companies and the workforce by making better unbiased decisions with the help of psychometric games,,Seed,2020
Monet Networks,"Irvine, California, United States",Ai Startup,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback,500000.0,Bridge,2020
Unocoin,"Tumkur, Karnataka",Fintech,Unocoin is an Indian bitcoin processor that enables users to buy sell store use and accept bitcoins,,Series A,2020
Pesto,New Delhi,Edtech,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists,,,2020
Nirogstreet,Gurugram,Ayurveda Tech,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation,2000000.0,Pre-series A,2020
Bambrew,Bengaluru,Packaging Solution Startup,Bambrew is an online shop for reusable bamboo straws,,Pre-seed,2020
Omnify,"San Francisco Bay Area, Silicon Valley, West Coast",Saas Startup,Omnify is a Global SaaS platform for Small Services Business,,Pre-series A,2020
Fanball Xi,New Delhi,Gaming,The gaming company mostly focused on fantasy football games,1000000.0,Seed,2020
Treebo Hotels,Bengaluru,Hospitality,Treebo is Indias techenabled assetlight affordable accommodation brand,6000000.0,,2020
Gps Renewables,Bengaluru,Cleantech,To solve the urban waste problem by utilising local technologies and business models,3000000.0,Series A,2020
Public,New Delhi,Social Media,Videoled social app Public provides users with a platform to share and view important hyperlocal videos,30000000.0,,2020
Legal Salah,Kolkata,Legaltech,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user,1000000.0,Seed,2020
Fanplay,New Delhi,Gaming,FanPlay Technologies operates as a realmoney gaming startup,,Seed,2020
Ecostp,Bengaluru,Sanitation Solutions,Eco friendly zero power zero maintenance sewage treatment plant in India,19000000.0,,2020
Coralogix,"San Francisco, California, United States",Saas Startup,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers,25000000.0,Series B,2020
Equiwatt,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",Tech Company,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times,300000.0,,2020
Reliance Retail Ventures,Mumbai,E-Commerce,Reliance Retail offers online shopping and a chain of neighborhood stores supermarkets and wholesalespecialty stores,800000000.0,,2020
Zhangmen,"Shanghai, China",Edtech,Zhangmen is an online tutoring platform provides tutoring courses to students,400000000.0,,2020
Agrowave,Gurugram,Agritech,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses,500000.0,,2020
Sapio Analytics,Mumbai,Tech Company,Sapio Analytics provides AIpowered policymaking solutions for government institutions,150000.0,,2020
Taimei,"Jiaxing, Zhejiang, China",Healthcare,Taimei Technology provides a cloud platform for clinical research collaboration,176000000.0,,2020
Avanse Financial Services,Mumbai,Fintech,Avanse regulated by the Reserve Bank of India is an education finance company that operates as a nonbanking finance company NBFC,15000000.0,,2020
Industry Buying,New Delhi,E-Commerce,Indias largest industrial ecommerce platform,15000000.0,,2020
Hopscotch,Mumbai,E-Commerce,Hopscotch provides an insider access to international brands for babies kids and moms,25000000.0,,2020
Pristyn Care,Gurugram,Healthcare,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures,11000000.0,,2020
Woodenstreet,Rajastan,Home Design,Wooden Street is a online furniture platform that provides custom made  ready to order furniture,1000000.0,,2020
Acko,Mumbai,Insuretech,Acko General Insurance is a private sector general insurance company in India,60000000.0,,2020
Farmers Fresh Zone,Kochi,Agritech,FarmersFZ is an online venture for fresh and safe vegetables and agri products,470000.0,,2020
Invento,Bengaluru,Ai Startup,Invento Robotics specializes in developing service robots intended for customer interactions,,,2020
Infurnia,Bengaluru,Tech Startup,Infurnia Technologies is an eponymous cloudbased architecture design software platform,240000.0,,2020
Analytiqsports'S Supercric,Bengaluru,Entertainment,SuperCric is Indias first strategy Cricket Manager simulation game,,,2020
Snowflake,California,Tech Company,Snowflake is a cloud data platform that provides a data warehouseasaservice designed for the cloud,3000000000.0,,2020
Genietalk,Indore,Tech Company,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app,750000.0,,2020
Classplus,Noida,Edtech,Classplus offers a mobilefirst SaaS platform for 3000 tutors to offer their curriculum and operations completely online,10000000.0,,2020
Mobile Premier League,Bengaluru,Entertainment,Mobile Premier LeagueMPL is a skill based ESports platform where you can play your favourite mobile games,74000000.0,,2020
Fourth Partner Energy,Hyderabad,Solar Solution,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India,16000000.0,,2020
Flipkart,Bengaluru,E-Commerce,Flipkart is an ecommerce marketplace that offers over 30 million products cross 70 categories,62000000.0,,2020
Vivriti Capital,Chennai,Fintech,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services,1000000.0,,2020
Insurancedekho,Ludhiana,Fintech,The funding for branding and marketing activities as well as strengthening the product and technology teams,20000000.0,,2020
Bestdoc,Kochi,Healthcare,An Intelligent Patient Relationship Management PRM system for hospitals and other healthcare providers in India,2100000.0,,2020
Byju’S,Bengaluru,Edtech,An Indian educational technology and online tutoring firm,500000000.0,,2020
Melorra,Bengaluru,Jewellery Startup,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry,12500000.0,,2020
Reliance,Mumbai,Multinational Conglomerate Company,Reliance owns businesses across India engaged in energy petrochemicals textiles natural resources,2200000000.0,,2020
Inflexor Ventures,Mumbai,Fintech,Experienced Venture CapitalGeneral Partner focused on Technology investments,10000000.0,,2020
Pandorum,Bengaluru,Deeptech Startup,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine,5060000.0,,2020
Speakin,Noida,Social Network,AIenabled network of speakers and thought leaders aka experts,,,2020
Letsup,Mumbai,Publication,Provides News Jobs Information  Entertainment on WhatsApp Absolutely free,,,2020
Newsreach,Gujarat,Publication,NewsReach India offers partner publications a digital footprint,,,2020
Dream11,Mumbai,Entertainment,Dream11 is Indias Biggest Sports Game with 30 million users playing Fantasy Cricket,225000000.0,,2020
Signalx,Hyderabad,Saas Platform,An AIpowered SaaS platform for corporate risk and due diligence for a comprehensive financial legal regulatory and reputational risk analysis,750000.0,,2020
Jetsynthesys,Mumbai,Tech,Gaming and entertainment startup,40000000.0,,2020
Vesta Space Technology,Pune,Tech Startup,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications,10000000.0,,2020
Dozee,Bengaluru,Healthtech,Dozee offers health and wellness monitoring products,1600000.0,,2020
Rebel Foods,Mumbai,Food,Known for its larger brands  Faasos Behrouz Biryani Oven story and Mandarin,50000000.0,,2020
Nykaa,Mumbai,Fashion,Cosmetics  beauty products online,24700000.0,,2020
Ketto,Mumbai,Finance,Crowdfunding Charity Ecommerce,7700000.0,,2020
Suryoday,Mumbai,Finance,Banks that extends two distinct fixed deposit schemes,800000.0,,2020
Sucseed,Hyderabad,Finance,Venture Partners,1300000.0,,2020
Unacademy,Bengaluru,Edtech,Unacademy is an Indian online education technology company,150000000.0,,2020
Strata,Bengaluru,Real Estate,Commercial Real Estate Commercial Property Investment Best Long Term Investments,19067328.0,,2020
3One4 Capital,Bengaluru,Venture Capital,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,100000000.0,,2020
We-Hub,Hyderabad,Entreprenurship,WE HUB is the firstofitskind and only Staterun platform for Women Entrepreneurs,,,2020
Zomato,Gurugram,Food Devlivery,Get online food delivery from restaurants near you,62000000.0,,2020
Vicara,Bengaluru,Tech Startup,A deep tech startup pioneering in motionbased interfaces and insights,,,2020
Gaana,Gurugram,Entertainment,Gaana is a commercial music streaming service providing free and licensed music,51000000.0,,2020
Em3 Agri,Noida,Agritech,A pioneering organization in the farmingasa service FaaS space,1000000.0,,2020
Plum,Thane,Cosmetics,Shampoos Conditioner  Hair Mask For Healthy Happy Hair,115000.0,,2020
Odwen,Noida,Warehouse,Indias first doityourself warehouse management system,54000.0,,2020
Fasal,Bengaluru,Agritech,Captures realtime data on crop growth conditions using onfarm sensors and delivers advisories to farmers in Indian languages,20000.0,,2020
Trukky,Ahmedabad,Logistics,Transportation logistics services  cargo services,,,2020
Bankbazaar,Chennai,Online Financial Service,Check your latest Credit Score and get your Credit Report online in India for Free,9000000.0,,2020
Specsmakers,Chennai,Eyeglasses,A leader in crafting stylish highquality eyewear at affordable prices,3000000.0,,2020
Grinntech,Dehradun,Battery Design,Grinntech has a range of Lithiumion batteries which sets new standards in Electrical safety Energy density Durability,2000000.0,,2020
Creditmantri,Chennai,Online Credit Management Startup,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs,803146.0,,2020
Chai Waale,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,238000.0,,2020
Deepsync,Bengaluru,Tech Startup,Deepsync is a revolutionary way to record your content without you really speaking,300000.0,,2020
Connectedh,Gurugram,Healthcare,The companys vision is simple  Connected Healthcare,,,2020
Reliance Retail,Mumbai,E-Commerce,Retailer delivering superior value to its customers suppliers and shareholders,10220000.0,,2020
Qshala,Bengaluru,Edtech,A platform that helps kids learn about life skills,300000.0,,2020
Pitstop,Bengaluru,Car Service,Pitstop owns and operates a network of garages that provides car repair detailing,1020000.0,,2020
Zomato,Gurugram,Food Devlivery,Get online food delivery from restaurants near you,100000000.0,,2020
Customfit Ai,Bengaluru,Saas Startup,Operates on a SaaS model by providing a hyperpersonalised website to users,,,2020
Nirmata,San Franciscao,Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloudbased apps,,,2020
Hire Me Car,Noida,Traveltech,HireMeCarcom offers customers the fastest and easiest way to plan road travel,,Seed,2020
Oga Fit,Bengaluru,Fitness Startup,The newage home workout app that gives you an unmatched boutique digital fitness studio experience,,Pre-series A,2020
Shipskart,New Delhi,E-Commerce,ShipsKart platform that streamlines the way marine stores are ordered approved and received on board with the help of technology,200000.0,Pre-series A,2020
Squadstack,San Francisco,Tech Company,Empowering consumer businesses to improve their sales conversions and funnel efficiency using Artificial Intelligence  Data Science,5000000.0,Series A,2020
Financepeer,Mumbai,Edtech,Financepeer is an AI based peer to peer lending platform,3000000.0,Pre-series A,2020
Cashify,Gurugram,E-Commerce,Cashifyin is an ecommerce platform for reselling used electronic gadgets,10000000.0,Debt,2020
Etrio,Hyderabad,Ev Startup,Etrio is an electric vehicle company in India with tata ace electric Electric Tata ace HT,3000000.0,Series A,2020
Codeyoung,Bengaluru,Edtech,Codeyoung provides live online coding classes for kids between the age of 5  17,,Seed,2020
Stayqrious,Bengaluru,Edtech,Live online coding courses with social learning Build coding skills confident communication and leadership skills with your very own coach,2000000.0,Seed,2020
Sunstone Eduversity,Gurugram,Edtech,Indias Only Business School That Offers MBA  PGDM Programs With 100 Placement Assurance,3000000.0,Series A,2020
Infilect,Bengaluru,Saas Startup,Infilect Technologies specialises in visual content intelligence by parsing largescale visual content such as photos and videos,1500000.0,Pre-series A,2020
Mobigarage,New Delhi,E-Commerce,An ecommerce platform for refurbished electronics,,Pre-series A,2020
Samunnati,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains,20000000.0,Debt,2020
Weinnovate Biosolutions,Pune,Startup Laboratory,Startup working dedicatedly in the area of healthcaretherapeutic solutions,,Seed,2020
Yummy Corp,"Tangerang, Jawa Barat, Indonesia",Food Industry,Yummy Corp is a food  beverages company that provides delicious fresh and creative food solutions for everyday corporate and group needs,12000000.0,Series B,2020
Smallcase,Bengaluru,Fintech,Smallcases are portfolios of stocks or ETFs created by Indias top financial experts,13400000.0,Series B,2020
Clairvolex,California,Tech Startup,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model,2000000.0,Debt,2020
Assiduus,Bengaluru,E-Commerce,Assiduus leverages its eCommerce experience to help build grow and scale your brand on various eCommerce platforms,1000000.0,Series A,2020
Brinton,California,Healthtech,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide,1300000.0,Debt,2020
Afk Gaming,Mumbai,Entertainment,AFK Gaming is a media and entertainment and gaming company located in Mumbai,200000.0,Pre-series A,2020
Infarm,Berlin,Agritech,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood,170000000.0,Series C,2020
Zuper,Seattle,Saas Startup,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations,1100000.0,Seed,2020
Mcaffeine,Mumbai,Personal Care Startup,MCaffeine is a personal care brand that offers caffeininfused face body and hair care products,2900000.0,Series B,2020
Origa,Andheri,Fintech,The charioteer of your growth at all times,2000000.0,Debt,2020
Gullybuy Software,Pune,Tech Startup,To deliver a solution that will provide shopping convenience to every consumer in India,543000.0,Pre-series A,2020
Recordent,Hyderabad,Fintech,A technologyenabled platform that helps MSMEs to increase their business efficiency through collection of dues,,Seed,2020
Mpl,Bengaluru,Entertainment,Mobile Premier League is the mobile eSports platform based in India,90000000.0,Series C,2020
Penny,Riyadh,Saas Startup,Offer various development solutions and mainly focus on helping startups,1300000.0,Seed,2020
Onsitego,Mumbai,Customer Service Company,Onsitego is a customer service company for device and appliance repairs,30000000.0,Series B,2020
Precily,California,Saas  Startup,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions,,Seed,2020
Smartclean,Singapore,Tech Startup,SmartClean Technologies is an AI company that offers datadriven cleaning operations designed for facilities,3400000.0,Pre- series A,2020
Clanconnect,Delhi,Marketing Startup,AIdriven influencer marketing platform ClanConnectai which helps brands make their campaigns more data and resultoriented,600000.0,Seed,2020
Servify,Mumbai,Technology Services,Servify is a selflearning platform that provides device management services and warranty solutions,23000000.0,Series C,2020
Sharechat,Bengaluru,Social Media,ShareChat is a social networking and regional content platform,40000000.0,Pre-series C,2020
Rephrase.Ai,Bengaluru,Ai,Rephraseai helps in creating highquality videos and animations through an AIpowered visual dubbing tool,1500000.0,Seed,2020
Melorra,Bengaluru,Jewellery,Buy Latest Gold Diamond  Gemstone Jewellery Designs Online Rings Earrings Necklace,8090000.0,Debt,2020
Fabhotels,Gurugram,Hospitality,FabHotels is a network of 3 star budget hotels in India,1030000.0,Series B,2020
Ekanek,New Delhi,Tech Startup,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,5040000.0,Edge,2020
Cub Mcpaws,Mumbai,Ar Startup,Cub McPaws is a kids clothing brand,800000.0,Pre-series A,2020
Zimyo,Gurugram,Hr Tech Startup,Employee experience platform that empowers organizations to manage and retain great talent,1500000.0,Seed,2020
Pumpumpum,Gurugram,Automotive Startup,Pumpumpum is a car rental company,360000.0,Debt,2020
Burgerama,Gurugram,Food Startup,Burgerama is a unit of Junket Foods Private Limited,,Pre-series A,2020
Moms Co,Gurugram,Healthcare,The Moms Co creates a safe and natural formulated products for babies that are certified toxinfree,8000000.0,Series B,2020
Dillyhub,Seoul,Publication,A service that promotes and facilitates the works of independent comic artists,1400000.0,Seed,2020
Fpl Technologies,Pune,Fintech,FPL is on a mission to reimagine credit and payments from first principles and is building a mobilefirst credit card,10000000.0,Series A,2020
Fittr,Pune,Fitness Startup,Fitness Social Network  Consultation Platform that helps you achieve your Health  Fitness goals,2000000.0,Pre-series A,2020
Illumnus,Gurugram,Edtech Startup,An innovative EdTech startup from IITB  BITS alumni offering B2B SaaSbased collaborative LMS for Schools and Universities,100000.0,Seed,2020
Cashkaro,Gurugram,E-Commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site,10000000.0,Series B,2020
Newton School,Bengaluru,Edtech Startup,Newton School is a platform to learn and develop skills,650000.0,Seed,2020
Airmeet,Bengaluru,Tech Startup,Airmeet is an allinone events platform for virtual summits meetups and workshops that includes virtual social lounge,12000000.0,Series A,2020
Observe Ai,San Francisco,Tech,ObserveAI develops a voice AI platform for contact centers turning agents into top performers,54000000.0,Series B,2020
Incred,Mumbai,Finance,Provide loans for all your needs like personal loan for wedding education loan business loan,5000000.0,Debt,2020
Toppr,Mumbai,Edtech,Toppr is an Indian educational technology and online tutoring firm,35000000.0,Series D,2020
Cartrade,Mumbai,Car Trade,Buy and Sell Used Cars,42500000.0,Series H,2020
Lead School,Mumbai,Edttech,Offers a highend digital classroom system focused on enhancing the learning experience,28000000.0,Series C,2020
Servify,Mumbai,Technology Services,Enables top OEMs  ODMs in device distribution sales warranty,11370000.0,Series C,2020
Lido Learning,Mumbai,Edtech,Online classes for Std 49 in Math Science Coding English  Leadership with top 1 tutors ,7500000.0,Series B,2020
Apna.Co,Bengaluru,Job Portal,Can find all types of jobs from entry level to experienced people in over 60 categories,8000000.0,Series A,2020
Quintype Technologies,Bengaluru,Tech,Building a suite of digital publishing solutions to simplify content creation distribution,325000.0,Series A,2020
Dunzo,Bengaluru,Tech,Order online and get free delivery from your nearby restaurants,28000000.0,Series E,2020
Entropik,Bengaluru,Ai Platform,Gain insights into human emotions with AIpowered platform affect lab,8000000.0,Series A,2020
Livspace,Bengaluru,Home Design,Interior design marketplace that connects interior designers,9000000.0,Series D,2020
Ultraviolette Automotive,Bengaluru,Automation,Industries Automotive Electric Vehicle Energy Energy Storage,410000.0,Series B,2020
Winzo,New Delhi,Gaming,WinZO is a mobile eSports gaming platform in India It is available in 10 regional languages of India,18000000.0,Series B,2020
Sensehawk,Bengaluru,Solar Saas,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,5000000.0,Series A,2020
Railofy,Mumbai,Wl & Rac Protection,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,900000.0,Seed,2020
Eloelo,Bengaluru,Social Commerce,Social Commerce Venture for Wellness View company info jobs team members culture funding and more,450000.0,Seed,2020
Aibono,Bengaluru,Agritech,A next dimension food  farming platform that unites two ends of the food chain from growing to consuming,2000000.0,Pre-series A,2020
Buildpan,Indore,Saas Startup,Buildpan helps you with continuous build development and user feedback for iOS and Android development,500000.0,Seed,2020
Homelane,Bengaluru,Home Interior Services,Explore 1000s of fully customizable home interior designs,8000000.0,Bridge,2020
Myglamm,Mumbai,Fashion,Buy Makeup kit  Cosmetics Products from international makeup brand,1000000.0,Series B,2020
Aviom,New Delhi,Finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,682000.0,Debt,2020
Flinto,Chennai,Edtech Startup,Flintobox is an Indiabased company that produces educational activity boxes for children,7000000.0,Pre-Series B,2020
Waycool,Chennai,Agritech Startup,WayCool is a social enterprise positively impacting the lives of Indias farmers,5060000.0,Series C,2020
Yap,Chennai,Api Platform,Create your own stream of Neobanking and Deposit products using our bankgrade APIs,4050000.0,Series A,2020
Big Bang Boom Solutions,Chennai,Deep Tech,It aims to cocreate intellectual property that can reside within the borders of the country,1050000.0,Series A,2020
Guvi,Chennai,Edtech Startup,Operates vernacularlanguage based education tech startup,800000.0,Series A,2020
Blusmart,Gurugram,Electricity,BluSmart an allelectric ridehailing platform,7000000.0,Pre-series A,2020
Cell Propulsion,Bengaluru,Automotive Company,Designs and develops electric power drives and autonomous electric mobility solutions,,Pre-series A,2020
Mpl,Bengaluru,Entertainment,Mobile Premier League also known as MPL is the mobile eSports platform,50000000.0,Series B,2020
Spoonshot,Bengaluru,Fmcg,A food science company using AI to predict consumer taste and food trends,1000000.0,Seed A,2020
Pulse,Mumbai,Fintech,Helps people navigate through and profit off financial markets,750000.0,Pre-series A,2020
Groww,Bengaluru,Fintech,Leading Investment and Trading Platform,30000000.0,Series C,2020
I3 Systems,Mumbai,Insurance Tech,Transforming Indias health insurance industry with its digital solutions and AI products for automation,1050000.0,Pre-series A,2020
Soal,Mumbai,Edtech,A skilltank nurturing students into disruptive techempowered creators and future leaders,1000000.0,Series A-1,2020
Ockypocky,Gurugram,Edtech,Ockypocky helps kids in learning spoken english,400000.0,Seed,2020
Hippo Video,New York,Video Personalization,Helps enterprise businesses achieve their marketing and sales goals through seamless video,4000000.0,Series A,2020
Hasura,San Francisco,Software Company,Builds developer tooling products including open source tools backend,25000000.0,Series B,2020
Qapita,Singapore,Fintech,Qapita provides digital equity management tools for private companies and startups,1080000.0,Seed,2020
Sunday,Bangkok,Fintech,An endtoend insurance products and services provider that uses AI to offer personalized packages,9000000.0,Pre-Series B,2020
Gamezop,Gurugram,Gaming,A multigame platform,4300000.0,Series A,2020
Phool.Co,Kanpur,Biomaterial Startup,They use flowers from temples across Indias and create useful products such as rose incense cone,1400000.0,Pre-series A,2020
Chiratae Ventures,Bengaluru,Venture Capital,A leading tech venture capital fund focused on enabling entrepreneurs in India,,Seed Funding,2020
Medlife,Bengaluru,Health,An India online platform which provides pharmacy diagnostics and econsultation in India,6800000.0,,2020
Idfy,Mumbai,It,IDfy provides risk and fraud solutions,2110000.0,Series A,2020
True Balance,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors,,Series C,2020
Bira91,New Delhi,Craft Beer,A craft beer brand manufactured by B9 Beverages Pvt Ltd,764000.0,,2020
Max Wholesale,New Delhi,E-Commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,603000.0,,2020
Craftsvilla,Mumbai,E-Commerce,Sells ethnic apparel footwear fashion accessories beauty products handcrafted home accessories,409000.0,,2020
Mechmocha,Bengaluru,Entertainment,Indias first vernacular social gaming platform,292000.0,Series A,2020
Mindhouse,Gurugram,Healthtech,A gym to train your mind offering workouts and programmes,286000.0,,2020
Deepsync,Chandigarh,Ai Startup,A revolutionary way to record your content without you really speaking,136000.0,,2020
Eruditus,Mumbai,Education,Bring worldclass business and professional education to a global audience,,,2020
Gradeup,Noida,Education,Indias largest exam preparation destination,546000.0,,2020
Tracxn,Bengaluru,Investment,Tracxn is the research partner for Venture Capitalist,887000.0,Series B,2020
Purple Style Labs,Mumbai,Fashion,Shopping experience and foster the growth of Indian brands and designers,43000.0,,2020
Prophysio,Bengaluru,Health,The largest provider of physiotherapy and rehabilitation services,40900.0,,2020
Flickstree,Mumbai,Tech,Worlds largest video publisher,40900.0,,2020
Settl,Gurugram,Traveltech,Get affordable AC busrides everyday,,,2020
